,CRD,CRD,WGT igg=10,WGT igg=10,WGT igg=10 wgt-adjusted,WGT igg=10 wgt-adjusted
,layer,coolrg,layer,coolrg,layer,coolrg
pressure,,,,,,
0.0003122,1,76.72215952789901,1,39.2575716471745,1,39.2575181218445
0.00075015,2,40.96117980895401,2,34.206175552949,2,34.206118663309
0.00105225,3,33.041424430057,3,31.957574606381,3,31.957509444171002
0.001476,4,26.177150428826,4,28.878259576546,4,28.878185491556
0.0020704,5,20.453586465819004,5,24.898121849899,5,24.898038746839
0.00290415,6,15.887010869990002,6,20.205157937324998,6,20.205065821814998
0.0040737,7,12.355441156077001,7,15.244785111724,7,15.244684116654
0.00571425,8,9.670386406506001,8,10.682080081777,8,10.681970516957
0.00801545,9,7.63211893504,9,7.175222455665001,9,7.175104861835
0.01124335,10,6.059188735919999,10,5.016015459540999,10,5.015890674401
0.01577115,11,4.80088402009,11,3.9373368763929997,11,3.9372060817329997
0.02212235,12,3.7332395051900007,12,3.3548135096399996,12,3.3546782171799996
0.03103125,13,2.7415063487149993,13,2.787180556842,13,2.7870424605419997
0.04352785,14,1.5351035532500001,14,1.8207267306990005,14,1.8205863734990004
0.061057,15,0.6212695147509999,15,0.94673488863,15,0.9465610542300001
0.0856453,16,1.0091048522500001,16,1.174464561271,16,1.1741432636709999
0.1201355,17,1.9780139926699998,17,1.8958840065100002,17,1.89522356451
0.1685155,18,2.672369822950001,18,2.33104981559,18,2.32978100639
0.2363785,19,3.35125309606,19,2.83618463278,19,2.83382315678
0.3315485,20,4.134224627,20,3.7197055085,20,3.7153722765
0.4651,21,5.128997505300001,21,5.0678957352,21,5.0600195642
0.6524,22,6.668314766400001,22,6.9288235685,22,6.9146269655
0.9151,23,8.412266739800002,23,8.612715759,23,8.588917019
1.28365,24,8.111906910300002,24,7.923915460600001,24,7.891446040600001
1.8006,25,6.2975928006,25,5.8201525392999995,25,5.7819113193
2.5257,26,4.91445148598,26,4.70675199258,26,4.66155823258
3.5428,27,3.9341449773000003,27,4.1739220670999995,27,4.1186798871
4.96955,28,3.201959351,28,3.4743910316,28,3.4060375815999997
6.97085,29,2.6686981367000002,29,2.6740558443999998,29,2.5927429044
9.7781,30,2.2440954957200003,30,2.18800121399,30,2.10005211399
13.71585,31,1.82288013367,31,2.0189523358300003,31,1.9400379058300001
19.23935,32,1.38543685642,32,1.7053183260499996,32,1.65615852605
26.98725,33,1.05115199421,33,1.21167314221,33,1.1935026322100002
37.8553,34,0.82400101997,34,0.8188048808,34,0.8006369607999999
53.10005,35,0.576220735822,35,0.6181114161300001,35,0.59066846613
73.8875,36,0.31806938682999997,36,0.42946614498999997,36,0.42214025098999997
97.6625,37,0.17702565826000002,37,0.24679598298,37,0.26239194098
121.4375,38,0.1317969368752,38,0.1381739307381,38,0.15782523213809999
145.2125,39,0.032605076388,39,-0.0038781896410000002,39,0.010157604459
168.9875,40,-0.10042825531999999,40,-0.15817874613000002,40,-0.15023773713
192.7625,41,-0.0960198374,41,-0.14579275186,41,-0.14401817086
216.5375,42,0.023672617728,42,-0.003497937593999998,42,-0.005230902793999997
240.3125,43,0.075845635993,43,0.056111942561,43,0.056673843361
264.0875,44,0.091997395214,44,0.07163273512900001,44,0.074231113829
287.8625,45,0.09811177562199999,45,0.07818568298400001,45,0.08119301978400001
311.6375,46,0.09972426281999999,46,0.082843298465,46,0.085562762565
335.4125,47,0.098895795496,47,0.086509200195,47,0.08882369499500001
359.1875,48,0.096724646045,48,0.08897951602200001,48,0.090942599222
382.9625,49,0.093991837812,49,0.0902061127,49,0.0918868217
406.7375,50,0.091033691454,50,0.090102158551,50,0.091553531051
430.5125,51,0.087523849579,51,0.08820291741099999,51,0.08946216471099999
454.2875,52,0.082854390188,52,0.083986117541,52,0.085072528141
478.0625,53,0.076838208837,53,0.077459640174,53,0.078386891574
501.8375,54,0.07015768704,54,0.069566594462,54,0.070350491762
525.6125,55,0.063739169358,55,0.061484749346,55,0.062146444346
549.3875,56,0.058048592627000004,56,0.053906738542999995,56,0.054469414543
573.1625,57,0.0530718857973,57,0.0470213937674,57,0.0475054999674
596.9375,58,0.048726380287,58,0.0409215273563,58,0.0413420662563
620.7125,59,0.0449241430133,59,0.0356362021372,59,0.0360038971372
644.4875,60,0.041549048285699997,60,0.031105357530300002,60,0.0314280538303
668.2625,61,0.0385947916534,61,0.0273349845943,61,0.027618990194300003
692.0375,62,0.0361136645117,62,0.0243528170713,62,0.0246046007713
715.8125,63,0.0342267645061,63,0.0222272506931,63,0.0224529764931
739.5875,64,0.033188919786,64,0.0211550143415,64,0.0213612148415
763.3625,65,0.0334977020768,65,0.0215629224904,65,0.0217580494904
787.1375,66,0.035965717802,66,0.024214224413,66,0.024406058512999998
810.9125,67,0.040448754435000005,67,0.02896117097,67,0.029150959669999997
834.6875,68,0.04405094812,68,0.032957831480000005,68,0.033137671480000006
858.4625,69,0.042752568672,69,0.032126474098,69,0.032284433098
882.2375,70,0.036370377967999995,70,0.026232207247999996,70,0.026359611948
906.0125,71,0.029075672401,71,0.019464764381,71,0.019560455581
929.7875,72,0.0241592495231,72,0.0151437388353,72,0.0152147275353
953.5625,73,0.022465716192,73,0.014094645014099998,73,0.0141510372141
977.3375,74,0.025618431505,74,0.0170278780492,74,0.0171759915492
1001.1125,75,0.09163298898,75,0.084731741246,75,0.084856704246
